Day,Date,Topic
1,July 7 2025,"Introduction: Computers Within Companies & Textbook Structure"
-,July 8 2025,"HOLIDAY: Ashura"
2,July 9 2025,"Corporate Activities: Purpose of Corporate Activities, Corporate Organizational Structure (Ch 1-1)"
3,July 14 2025,"Corporate Activities: Business Management (Ch 1-1)"
4,July 15 2025,"Corporate Accounting: Financial Accounting - Balance Sheet (B/S) (Ch 1-2)"
5,July 16 2025,"Corporate Accounting: Financial Accounting - Income Statement (P/L) & Cash Flow (C/F) (Ch 1-2)"
6,July 21 2025,"Corporate Accounting: Management Accounting - Cost Accounting & CVP Analysis (Ch 1-2)"
7,July 22 2025,"Management Science: Applied Mathematics (Number Series, Probability, Statistics) (Ch 1-3)"
8,July 23 2025,"Management Science: OR - Linear Programming, PERT/CPM Intro (Ch 1-3)"
9,July 28 2025,"Management Science: OR - Queuing Theory, Forecasting, Inventory Management (Ch 1-3)"
10,July 29 2025,"Management Science: IE & QC Analysis Techniques (Pareto, Cause-and-Effect) (Ch 1-3)"
11,July 30 2025,"Legal Affairs: Intellectual Property Rights - Copyright, Patent Law (Ch 1-4)"
12,August 4 2025,"Legal Affairs: Intellectual Property Rights - Trademark, Trade Secret, Unfair Competition (Ch 1-4)"
13,August 6 2025,"Legal Affairs: Security-related Laws and Regulations (Ch 1-4)"
14,August 11 2025,"Legal Affairs: Laws on Labor and Transactions (Ch 1-4)"
15,August 12 2025,"Legal Affairs: Standardization and Certification Systems (ISO, JIS) (Ch 1-4)"
16,August 13 2025,"Business Strategy: Business Strategy Techniques (SWOT, PPM, 3C) (Ch 2-1)"
17,August 18 2025,"Business Strategy: Marketing Concepts (4P, 4C, CRM) (Ch 2-1)"
18,August 19 2025,"Business Strategy: Business and Goals Evaluation (BSC) (Ch 2-1)"
19,August 20 2025,"Business Strategy: Business Management Systems (ERP, SCM, BI) (Ch 2-1)"
20,August 25 2025,"Tech. Strategy: Creation of a Technology Development Strategy & MOT (Ch 2-2)"
-,August 26 2025,"HOLIDAY: Janmashtami"
21,August 27 2025,"Business Industry: Business Systems, Engineering Systems, e-business (Ch 2-3)"
22,September 1 2025,"Info Systems Strategy: The Process of an IS Strategy (Ch 3-1)"
23,September 2 2025,"Info Systems Strategy: Business Process and Solution Business (BPR, BPM) (Ch 3-1)"
24,September 3 2025,"Info Systems Strategy: System Planning and Requirements Definition Process (Ch 3-2)"
25,September 8 2025,"Info Systems Strategy: Procurement - RFI, RFP, and Vendor Selection (Ch 3-2)"
26,September 9 2025,"Review Session: Chapters 1-3"
27,September 10 2025,"Development Tech: Software Development Models - Waterfall Model (Ch 4-1)"
28,September 15 2025,"Development Tech: Software Development Models - Prototyping and Spiral Models (Ch 4-1)"
29,September 16 2025,"Development Tech: Software Development Models - Agile and Scrum (Ch 4-1)"
30,September 17 2025,"Development Tech: System Development Process - Object-Oriented Development (Ch 4-1)"
31,September 22 2025,"Development Tech: System Development Process - Structured Design (Ch 4-1)"
32,September 23 2025,"Development Tech: Development Environments & Tools (CASE Tools) (Ch 4-1)"
33,September 24 2025,"Dev. Management: Estimation Techniques - LOC, FP, COCOMO (Ch 4-2)"
34,September 29 2025,"Dev. Management: Progress Management - Gantt Charts and PERT Diagrams (Ch 4-2)"
35,September 30 2025,"Dev. Management: Testing Techniques - White-box vs Black-box (Ch 4-2)"
-,October 1 2025,"HOLIDAY: Durga Puja"
36,October 6 2025,"Dev. Management: Test Levels - Unit, Integration, System, Acceptance (Ch 4-2)"
37,October 7 2025,"Dev. Management: Test Techniques - Regression Testing, Static vs Dynamic Analysis (Ch 4-2)"
38,October 8 2025,"Dev. Management: Review Techniques - Walkthroughs and Inspections (Ch 4-2)"
39,October 13 2025,"Review Session: Chapter 4"
40,October 14 2025,"Project Management: Overview and Integration Management (Ch 5-1, 5-2)"
41,October 15 2025,"Project Management: Scope Management (WBS - Work Breakdown Structure) (Ch 5-3)"
42,October 20 2025,"Project Management: Time Management - Critical Path Method (Ch 5-4)"
43,October 21 2025,"Project Management: Time Management Practice (PERT/CPM Problems)"
44,October 22 2025,"Project Management: Cost Management (Ch 5-5)"
45,October 27 2025,"Project Management: Cost - Earned Value Management (EVM) (Ch 5-5)"
46,October 28 2025,"Project Management: Quality Management (Ch 5-6)"
47,October 29 2025,"Project Management: Human Resource Management (Organizational Structures) (Ch 5-7)"
48,November 3 2025,"Project Management: Communications Management (Ch 5-8)"
49,November 4 2025,"Project Management: Risk Management (Ch 5-9)"
50,November 5 2025,"Project Management: Procurement Management (Ch 5-10)"
51,November 10 2025,"Review Session: Chapter 5"
52,November 11 2025,"Service Management: Overview of Service Management (ITIL) (Ch 6-1)"
53,November 12 2025,"Service Management: Service Design and Transition (Ch 6-1)"
54,November 17 2025,"Service Management: Service Delivery and Service Level Management (SLA) (Ch 6-1)"
55,November 18 2025,"Service Management: Continual Service Improvement (Ch 6-1)"
56,November 19 2025,"Service Management: Facility Management (Ch 6-1)"
57,November 24 2025,"System Audit: Overview of System Audits (Ch 6-2)"
58,November 25 2025,"System Audit: The Audit Process and Audit Reports (Ch 6-2)"
59,November 26 2025,"System Audit: Internal Controls and Types of Controls (Ch 6-2)"
60,December 1 2025,"Review Session: Chapter 6"
