Day,Date,Topic
1,July 3 2025,"Introduction, Setup (JDK, IDE), and 'Hello World'"
2,July 6 2025,"Variables, Primitive Data Types (int, double, char, boolean), and String"
3,July 10 2025,"Operators (Arithmetic, Assignment) & Getting User Input with Scanner"
4,July 13 2025,"Conditional Logic: `if`, `else if`, `else` Statements"
5,July 17 2025,"Conditional Logic: Nested Conditions, Logical Operators (&&, ||, !), and `switch-case`"
6,July 20 2025,"Practice Session: Solving Problems with Conditional Logic"
7,July 24 2025,"Loops: `while` and `for` Loops - Syntax and Use Cases"
8,July 27 2025,"Loops: Nested Loops and Controlling Flow with `break` and `continue`"
9,July 31 2025,"Practice Session: Solving Problems with Nested Loops and Patterns"
10,August 3 2025,"Arrays: 1D Arrays - Declaration, Initialization, and Iteration"
11,August 7 2025,"Arrays: 2D Arrays (Matrices) - Declaration and Nested Loop Traversal"
12,August 10 2025,"Practice Session: Array Manipulations (Sum, Average, Find Min/Max)"
13,August 14 2025,"Methods: Defining Methods with Parameters and Return Values"
14,August 17 2025,"Methods: Understanding Variable Scope & Static Methods"
15,August 21 2025,"FE Exam Pseudocode: Understanding its Syntax for Fundamentals"
16,August 24 2025,"OOP Intro: Classes, Objects, and Constructors"
17,August 28 2025,"OOP: Encapsulation - Access Modifiers, Getters, and Setters"
18,August 31 2025,"Practice Session: Building a 'Student' or 'BankAccount' Class"
19,September 4 2025,"OOP: Inheritance (`extends`) and Method Overriding (`@Override`)"
20,September 7 2025,"OOP: Polymorphism and Abstract Classes"
21,September 11 2025,"OOP: Interfaces - Defining and Implementing"
22,September 14 2025,"Mini-Project: Simple Library System using OOP Concepts"
23,September 18 2025,"Data Structures: The Stack (LIFO) - Theory and Implementation"
24,September 21 2025,"Data Structures: The Queue (FIFO) - Theory and Implementation"
25,September 25 2025,"Data Structures: Linked Lists - Concepts and Implementation"
26,September 28 2025,"Practice Session: Solving problems with Stacks, Queues, and Linked Lists"
27,October 5 2025,"Data Structures: HashMaps for Key-Value Data Storage"
28,October 9 2025,"Data Structures: Tree Terminology & Binary Tree Concepts"
29,October 12 2025,"Data Structures: Tree Traversal Methods (In-order, Pre-order, Post-order)"
30,October 16 2025,"Practice Session: Implementing Tree Traversals"
31,October 19 2025,"Data Structures: Binary Search Trees (BST) - Insertion and Search"
32,October 23 2025,"Data Structures: Heaps and Balanced Tree Concepts"
33,October 26 2025,"Practice Session: Implementing and Using Binary Search Trees"
34,October 30 2025,"Algorithms: Analyzing Efficiency with Big O Notation"
35,November 2 2025,"Algorithms: Linear Search and Binary Search"
36,November 6 2025,"Practice Session: Implementing and Comparing Search Algorithms"
37,November 9 2025,"Algorithms: Understanding Recursion with Factorial & Fibonacci"
38,November 13 2025,"Practice Session: Solving Problems with Recursion"
39,November 16 2025,"Algorithms: Sorting - Bubble Sort & Selection Sort (O(n^2))"
40,November 20 2025,"Algorithms: Sorting - Insertion Sort & its advantages"
41,November 23 2025,"Practice Session: Implementing Basic Sorting Algorithms"
42,November 27 2025,"Algorithms: Sorting - Merge Sort (Divide and Conquer)"
43,November 30 2025,"Algorithms: Sorting - Quick Sort (Partitioning)"
44,December 4 2025,"Practice Session: Tracing and Understanding O(n log n) Sorts"
45,December 7 2025,"Algorithms: Graph Theory - Terminology & Representations (Matrix vs. List)"
46,December 11 2025,"Algorithms: Graph Traversal - Breadth-First Search (BFS)"
47,December 14 2025,"Algorithms: Graph Traversal - Depth-First Search (DFS)"
48,December 18 2025,"Practice Session: Implementing Graph Traversals"
49,December 21 2025,"Algorithms: Shortest Path Concepts (Dijkstra's Algorithm)"
-,December 25 2025,"HOLIDAY: Christmas Day"
50,December 28 2025,"FE Exam Pseudocode: Data Structures and Algorithms"
51,January 1 2026,"File I/O: Reading from and Writing to Text Files"
52,January 4 2026,"Exception Handling: Using `try-catch-finally` for robust code"
53,January 8 2026,"Information Security for Programming: Input Validation & Secure Coding Concepts"
54,January 11 2026,"FE Afternoon Exam - Past Paper Analysis and Walkthrough 1"
55,January 15 2026,"FE Afternoon Exam - Past Paper Analysis and Walkthrough 2"
56,January 18 2026,"Review Session 1: Core Java, OOP, and Pseudocode"
57,January 22 2026,"Review Session 2: Linear Data Structures (Arrays, Stacks, Queues, Lists)"
58,January 25 2026,"Review Session 3: Non-Linear Data Structures (Trees, Graphs)"
59,January 29 2026,"Review Session 4: Searching and Sorting Algorithms"
60,February 1 2026,"Full Mock Programming Exam 1 (FE Afternoon Style)"
61,February 5 2026,"Detailed Review of Mock Exam 1"
62,February 8 2026,"Full Mock Programming Exam 2 (FE Afternoon Style)"
63,February 12 2026,"Detailed Review of Mock Exam 2"
64,February 15 2026,"Targeted Practice: Data Structures"
65,February 19 2026,"Targeted Practice: Algorithms"
66,February 22 2026,"Targeted Practice: Debugging and Code Tracing"
67,February 26 2026,"Full Mock Programming Exam 3 (FE Afternoon Style)"
68,March 1 2026,"Detailed Review of Mock Exam 3"
69,March 5 2026,"Targeted Practice: Recursion and Trees"
70,March 8 2026,"Targeted Practice: Graph Traversal Algorithms"
71,March 12 2026,"Full Mock Programming Exam 4 (FE Afternoon Style)"
72,March 15 2026,"Detailed Review of Mock Exam 4"
73,March 19 2026,"Final Review of All Mock Exams and Common Mistakes"
-,March 26 2026,"HOLIDAY: Independence Day"
74,March 22 2026,"Final Exam Strategies, Time Management, and Q&A Session"
75,March 29 2026,"Final Preparation and Course Wrap-up"
